MAC Address,Status,Address,Model,Firmware,DHCP,HTTPS,Server,Warranty expiration,Host Name,IEEE 802.1X,Tags,UPnP Friendly Name,Warranty start
ACCC8E2BA3EF,OK,10.1.34.35:443,AXIS P3214-V,6.50.5.8,No,Enabled,MSMGMT1,8/4/2019 (3Y),,Disabled,,AXIS P3214-V - ACCC8E2BA3EF,8/4/2016
ACCC8E2BBE5F,OK,10.1.34.34:443,AXIS P3215-V,6.50.5.8,No,Enabled,MSMGMT1,8/25/2019 (3Y),,Disabled,,AXIS P3215-V - ACCC8E2BBE5F,8/25/2016
ACCC8E2BBE70,OK,10.1.34.33:443,AXIS P3215-V,6.50.5.8,No,Enabled,MSMGMT1,8/25/2019 (3Y),,Disabled,,AXIS P3215-V - ACCC8E2BBE70,8/25/2016
ACCC8E2BBEEF,OK,10.1.34.21:443,AXIS P3215-V,6.50.5.8,No,Enabled,MSMGMT1,8/25/2019 (3Y),,Disabled,,AXIS P3215-V - ACCC8E2BBEEF,8/25/2016
ACCC8E2BBFA0,Not accessible,10.1.34.22:443,AXIS P3215-V,6.50.5.8,No,Enabled,MSMGMT1,8/25/2019 (3Y),,Disabled,,AXIS P3215-V - ACCC8E2BBFA0,8/25/2016
ACCC8E2BC086,OK,10.1.34.23:443,AXIS P3214-VE,6.50.5.8,No,Enabled,MSMGMT1,8/25/2019 (3Y),,Disabled,,AXIS P3214-VE - ACCJUC8E2BC086,8/25/2016
ACCC8E5E4207,OK,10.1.34.45:443,AXIS P1405-E,6.50.5.8,No,Enabled,MSMGMT1,8/14/2019 (3Y),,Disabled,,AXIS P1405-E - ACCC8E5E4207,8/14/2016
ACCC8E5F625B,OK,10.1.34.50:443,AXIS M3045-V,9.80.78,No,Enabled,MSMGMT1,11/23/2019 (3Y),,Disabled,,AXIS M3045-V - ACCC8E5F625B,11/23/2016
ACCC8E5F6237,OK,10.1.34.47:443,AXIS M3045-V,9.80.78,No,Enabled,MSMGMT1,11/23/2019 (3Y),,Disabled,,AXIS M3045-V - ACCC8E5F6237,11/23/2016
ACCC8E5F6241,OK,10.1.34.49:443,AXIS M3045-V,9.80.78,No,Enabled,MSMGMT1,11/23/2019 (3Y),,Disabled,,AXIS M3045-V - ACCC8E5F6241,11/23/2016
